bv2022;nb_docteurs_pondere;population_2023_bv
29150;0.0;11457.0
29151;5.5;54883.0
29160;0.0;12654.0
29162;0.0;7003.0
29174;0.0;8253.0
29178;0.0;18174.0
29195;0.0;16166.0
29197;0.25;16832.0
29199;0.0;9096.0
29218;0.0;4559.0
29220;1.333333332;38294.0
29232;10.833333328;94542.0
29233;0.25;20460.0
29241;0.0;21483.0
29259;0.25;27297.0
29260;2.5;18452.0
29274;0.0;7215.0
2A004;8.233333331;112643.0
2A041;1.0;6405.0
2A130;1.166666666;11479.0
2A247;2.833333333;20593.0
2A249;0.5;9674.0
2A272;1.5;6067.0
2B033;6.5;78577.0
2B042;3.25;29040.0
2B050;0.0;11288.0
2B096;1.75;14504.0
2B123;0.0;10299.0
2B134;1.0;12708.0
2B207;1.5;17207.0
2B251;0.0;9775.0
2B298;0.0;5227.0
30003;1.25;25727.0
30006;0.0;8283.0
30007;8.208333333;100512.0
30010;0.0;17258.0
30028;1.666666666;51340.0
30029;0.0;6147.0
30032;1.0;53174.0
30034;0.0;8035.0
30037;0.0;5345.0
30047;0.0;11451.0
30061;0.0;6924.0
30062;0.833333333;14886.0
30132;0.5;16380.0
30155;0.0;11255.0
30189;21.933333329;211596.0
30202;0.0;20162.0
30210;0.0;8840.0
30212;0.125;13303.0
30217;0.0;13861.0
30221;0.0;15059.0
30227;0.0;17150.0
30255;1.0;19433.0
30258;0.0;14734.0
30263;0.0;8136.0
30269;0.0;5621.0
30321;0.5;25343.0
30334;1.5;26086.0
30341;0.676190476;17737.0
30344;0.0;16953.0
30350;0.0;11987.0
31033;0.0;22632.0
31042;0.0;5061.0
31066;0.0;12630.0
31080;0.0;5663.0
31106;0.0;7753.0
31107;0.0;22002.0
31135;1.0;15295.0
31202;0.0;9038.0
31232;1.0;24288.0
31239;0.0;4281.0
31324;0.0;5758.0
31358;0.0;10690.0
31390;0.0;21577.0
31396;2.499999998;6101.0
31399;0.0;7096.0
31421;0.0;16622.0
31451;0.0;23389.0
31454;0.0;15126.0
31483;2.5;37397.0
31499;0.0;14769.0
31523;0.0;9366.0
31555;103.283333317;1135224.0
31573;0.0;7956.0
31574;0.0;9535.0
31582;0.0;31238.0
31584;0.0;14545.0
32013;11.566666666;37037.0
32096;0.0;8076.0
32107;1.0;13660.0
32119;1.0;11249.0
32132;0.0;14617.0
32147;0.0;11107.0
32160;1.7595238100000001;24456.0
32208;0.5;5583.0
32233;0.0;2608.0
32242;0.0;8532.0
32249;0.0;6639.0
32256;0.0;9156.0
32296;0.0;5681.0
32319;0.0;7079.0
32344;0.0;4449.0
32410;0.0;9180.0
32462;0.0;11432.0
33005;1.0;20047.0
33011;2.333333333;6482.0
33036;1.0;22914.0
33042;0.2;17109.0
33051;0.5;38766.0
33058;1.511904762;32889.0
33063;112.015476178;991755.0
33081;0.0;14109.0
33104;1.5;16813.0
33108;0.0;20092.0
33114;0.0;24368.0
33138;2.299603175;32377.0
33140;1.0;21642.0
33203;0.333333333;4045.0
33213;0.0;16381.0
33214;0.0;8154.0
33226;0.0;7105.0
33227;9.538888887;41918.0
33236;0.0;12576.0
33240;2.033333333;21045.0
33243;9.835317461;105361.0
33314;0.0;22123.0
33327;0.2;20069.0
33352;0.0;14870.0
33366;2.601190476;53426.0
33402;0.0;29666.0
33478;0.0;5464.0
33498;0.0;9416.0
33506;0.0;7112.0
33514;0.0;8660.0
33529;7.083333331;69991.0
34003;2.333333333;29939.0
34022;0.0;14461.0
34028;0.166666667;17123.0
34031;0.0;21504.0
34032;16.292893217;148420.0
34052;0.0;4309.0
34058;1.5;21625.0
34079;1.50952381;25491.0
34111;4.09090909;19408.0
34114;0.611111111;15025.0
34126;1.6666666669999999;6939.0
34142;1.94090909;15546.0
34145;6.410353533;56078.0
34147;0.0;9797.0
34150;0.0;8414.0
34154;3.7532106769999998;16522.0
34157;0.333333333;18810.0
34162;0.0;5013.0
34172;64.042640681;512583.0
34189;0.0;15303.0
34192;0.0;6133.0
34194;0.0;15346.0
34199;4.0;27139.0
34202;0.0;23550.0
34239;0.5;10389.0
34245;0.0;4266.0
34276;0.5;13834.0
34284;0.0;5685.0
34299;0.0;21244.0
34300;0.0;9002.0
34301;6.627777777;100691.0
34332;0.0;5952.0
35006;0.0;11780.0
35012;0.833333333;30099.0
35037;0.0;11330.0
35068;0.0;19557.0
35069;1.0;18633.0
35085;0.333333333;15209.0
35093;3.0;34899.0
35095;1.116666667;25416.0
35115;5.066666671;46620.0
35125;1.0;17746.0
35126;0.0;27271.0
35136;0.25;29875.0
35152;0.0;16040.0
35162;0.0;9567.0
35168;0.0;8258.0
35176;0.0;8056.0
35177;0.0;14027.0
35184;2.0;13459.0
35188;1.0;35424.0
35196;1.0;15265.0
35207;0.0;15375.0
35219;0.0;7045.0
35223;0.0;10999.0
35236;6.016666671;31092.0
35238;41.86666667;410137.0
35239;0.0;13525.0
35240;0.0;16873.0
